contrast,group1_label,group0_label,n_group1,n_group0,feature,mean_group1,mean_group0,median_group1,median_group0,mean_diff_clr,median_diff_clr,abs_mean_diff,ranksum_stat,p_value,rank_biserial,fdr_bh,significant_fdr_0_05
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Turicimonas,-2.11809901625821,-1.5502616419191766,-2.4281005271259644,-1.5975042745043506,-0.5678373743390333,-0.8305962526216137,0.5678373743390333,-4.494968451425477,6.9580262544028555e-06,-0.20204741379310343,0.00012663607783013197,True
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Gemella,-0.45317066257722405,-1.1153810641154287,-0.8117295049692292,-1.1641666650657232,0.6622104015382047,0.35243716009649395,0.6622104015382047,3.8640746572209586,0.00011151111480680028,0.17368893678160924,0.0014496444924884037,True
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Romboutsia,-2.5317276473051544,-2.180125708582308,-2.789035765769132,-2.2565320547483463,-0.3516019387228466,-0.5325037110207855,0.3516019387228466,-3.8840522947828497,0.00010272979707533577,-0.1745869252873563,0.0014496444924884037,True
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Butyrivibrio,-2.2912518651718123,-1.6891773774605061,-2.803393285095787,-2.3062480850676175,-0.6020744877113062,-0.4971452000281693,0.6020744877113062,-3.7797690267097788,0.00015697390627764896,-0.16989942528735635,0.0017855781839082568,True
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Ruthenibacterium,1.9724456608723417,1.3186659149055393,2.2536981353326264,1.5512150692655515,0.6537797459668024,0.7024830660670749,0.6537797459668024,3.7026553457208795,0.00021335463818233347,0.1664331896551725,0.002157252452732483,True
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Coprobacter,-1.1762520935409408,-0.4698779242000783,-1.702651693422712,-1.1095192145276016,-0.7063741693408625,-0.5931324788951104,0.7063741693408625,-3.5735998070710635,0.0003521069436626356,-0.160632183908046,0.003204173187329984,True
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Gemmiger,0.451158318100642,1.141558899116509,0.7286256829013029,1.631323329952073,-0.6904005810158671,-0.9026976470507702,0.6904005810158671,-3.4429460574162962,0.0005754140749559529,-0.1547593390804598,0.004760243710999246,True
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Anaerobutyricum,1.424701545672958,2.0475971071628187,1.9917032764431197,2.480799177039091,-0.6228955614898608,-0.4890959005959714,0.6228955614898608,-3.208808145190934,0.001332863985740544,-0.1442349137931035,0.010107551891865792,True
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Hungatella,-0.8189098071030999,-1.3363684293923885,-1.0805759117786675,-1.5521877993442068,0.5174586222892886,0.4716118875655393,0.5174586222892886,3.1448797049928823,0.0016615513630808462,0.14136135057471266,0.011205150286744155,True
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Rothia,-1.8006794910237995,-1.4074991006295878,-1.9544096091465033,-1.4934485521947467,-0.3931803903942117,-0.4609610569517566,0.3931803903942117,-3.1340917807094613,0.0017238692748837163,-0.14087643678160922,0.011205150286744155,True
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Citrobacter,-2.2500687234385164,-1.9424383365521836,-2.774242312498597,-2.3120301763413376,-0.3076303868863328,-0.4622121361572593,0.3076303868863328,-3.1025271133616736,0.0019187597061430595,-0.13945761494252873,0.011640475550601227,True
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Parasutterella,-0.7937702033260446,-0.23825413621147007,-1.5192640567653668,-0.9381747311234281,-0.5555160671145746,-0.5810893256419387,0.5555160671145746,-2.868389201136311,0.004125676737879122,-0.12893318965517242,0.022084504891000008,True
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Adlercreutzia,-0.09274085248962531,0.4602661542335497,-0.3671972504483376,0.46783369261018004,-0.553007006723175,-0.8350309430585177,0.553007006723175,-2.8783780199172564,0.003997258329034344,-0.129382183908046,0.022084504891000008,True
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Faecalitalea,-2.2323536171737635,-1.8340237414648577,-2.6972639580873525,-2.2940672054763813,-0.39832987570890577,-0.4031967526109712,0.39832987570890577,-2.7497220340186783,0.005964583804776286,-0.1235991379310345,0.030154284790813446,True
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Parabacteroides,4.28824802950272,3.927606181362448,5.068425112650923,4.617531254823627,0.36064184814027156,0.4508938578272961,0.36064184814027156,2.7101663116461343,0.006724947833045175,0.12182112068965512,0.03220896067405847,True
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Enterocloster,1.153848520252634,0.6080960466326845,1.4230753026121687,0.6605561443514785,0.5457524736199496,0.7625191582606903,0.5457524736199496,2.6002893050557336,0.009314519759298215,0.11688218390804606,0.038028123486528925,True
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Bilophila,0.13046150736084589,-0.3230153868828236,0.40094486892017667,-0.7255293547081942,0.4534768942436695,1.126474223628371,0.4534768942436695,2.624262470130003,0.008683683832521038,0.11795977011494263,0.038028123486528925,True
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Tractidigestivibacter,-2.314937573596601,-2.031362406874468,-2.607902885891276,-2.2803536404798876,-0.2835751667221329,-0.3275492454113884,0.2835751667221329,-2.5958942247921177,0.009434510423127332,-0.11668462643678157,0.038028123486528925,True
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Desulfovibrio,-1.9214377286846025,-1.6933001670397694,-2.607902885891276,-2.250818349340472,-0.22813756164483312,-0.3570845365508042,0.22813756164483312,-2.5895013807723126,0.009611503738353464,-0.1163972701149425,0.038028123486528925,True
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Catenibacterium,-2.190308816481756,-1.8605364658233057,-2.741753828488644,-2.395858688779265,-0.32977235065845023,-0.3458951397093788,0.32977235065845023,-2.5403563923700605,0.011073956085101457,-0.11418821839080462,0.04198875015600969,True
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Enorma,-1.9517922793873368,-1.7619602319855712,-2.223960963288827,-1.8681001209089592,-0.18983204740176562,-0.3558608423798677,0.18983204740176562,-2.5223765185643585,0.01165648668194751,-0.11338002873563213,0.04242961152228894,True
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Monoglobus,-2.0186276395460063,-1.6837011727190607,-2.6972639580873525,-2.26230615720927,-0.3349264668269456,-0.43495780087808233,0.3349264668269456,-2.4720328719083935,0.013434716233021966,-0.11111709770114941,0.04527996952611107,True
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Turicibacter,-1.8946694180527248,-1.5827369500750865,-2.3838227507083527,-1.9724699261841825,-0.3119324679776383,-0.4113528245241702,0.3119324679776383,-2.4808230324356253,0.013107943238470568,-0.11151221264367817,0.04527996952611107,True
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Enterococcus,-1.9936526860327044,-1.6171456636373769,-2.486812961880063,-2.1430879929660533,-0.3765070223953275,-0.34372496891400983,0.3765070223953275,-2.4492583650878377,0.014315072365124602,-0.11009339080459768,0.04652398518665496,True
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Bacteroides,6.660841887550205,6.158448934644763,6.823658561013135,6.619589907702627,0.5023929529054421,0.2040686533105074,0.5023929529054421,2.428481622023471,0.015162193530912199,0.10915948275862064,0.047577917631483106,True
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Anaerostipes,2.7429398169182457,3.141694768432887,3.2220254957176673,3.7494755200992875,-0.39875495151464113,-0.5274500243816203,0.39875495151464113,-2.3517674937858093,0.018684449904975604,-0.10571120689655178,0.056676164711759326,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Ligilactobacillus,-2.21058609647039,-1.8747377107665788,-2.7059215288910443,-2.3437281951699585,-0.33584838570381126,-0.36219333372108586,0.33584838570381126,-2.2762520238018613,0.022830929795010408,-0.10231681034482754,0.0670198261724499,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Pseudoflavonifractor,-2.1373906055355816,-1.8872539901878718,-2.5127188178618405,-2.2565320547483463,-0.2501366153477098,-0.2561867631134942,0.2501366153477098,-2.253077964230068,0.024254233600374486,-0.10127514367816093,0.06897297680106494,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Prevotella,1.7099183138750678,1.047434200858569,1.1208673387335304,-0.36411681216788727,0.6624841130164987,1.4849841509014177,0.6624841130164987,2.240292276190458,0.02507195435660444,0.10070043103448278,0.06913781352881831,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Coprobacillus,-2.1721450545942727,-1.956463780492385,-2.5127188178618405,-2.245975657017346,-0.21568127410188764,-0.26674316084449456,0.21568127410188764,-2.175165177738693,0.02961774063889483,-0.09777298850574712,0.07927101170998321,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Lachnospira,2.548893425155697,3.110273342030149,3.6207582652827828,3.972342067152497,-0.561379916874452,-0.3515838018697144,0.561379916874452,-2.1511920126644237,0.031461047222724026,-0.09669540229885054,0.08179872277908247,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Intestinibacter,-1.1645193843865709,-0.8037023943937336,-1.4951615999670453,-1.144040552639217,-0.3608169899928373,-0.35112104732782834,0.3608169899928373,-2.052502483108682,0.04012085398107597,-0.0922593390804598,0.10141660311883091,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Escherichia,1.6449184120807605,1.0946541897738997,1.7921753936971938,0.2668649503181681,0.5502642223068608,1.5253104433790257,0.5502642223068608,2.028529318034413,0.042506254196673254,0.09118175287356323,0.10454240897019638,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Faecalibacterium,4.948945317423947,5.225505909949444,5.38479082464184,5.588711324304692,-0.27656059252549703,-0.20392049966285253,0.27656059252549703,-1.9542125063041784,0.05067609089921896,-0.08784123563218393,0.12135590189023489,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Lactobacillus,-1.0790438336196804,-0.7695041523492959,-1.3949329619783497,-1.1979124000095798,-0.30953968127038445,-0.19702056196876994,0.30953968127038445,-1.9210496279514393,0.05472545115296914,-0.08635057471264362,0.127692719356928,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Harryflintia,-2.3197933943270757,-2.1615606739776783,-2.520792375542192,-2.3518458795347774,-0.1582327203493974,-0.16894649600741474,0.1582327203493974,-1.861516268017004,0.06267130547199898,-0.08367456896551728,0.14257721994879768,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Eisenbergiella,-0.44015086723021524,-0.8151508257570569,-0.9795903361070808,-1.137909854892184,0.37499995852684165,0.1583195187851032,0.37499995852684165,1.7983869333214284,0.07211571198124132,0.08083692528735642,0.15625070929268953,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Roseburia,4.085516995555502,4.420467597766476,4.648393956686555,5.025598395401529,-0.3349506022109736,-0.37720443871497356,0.3349506022109736,-1.801982908082569,0.07154809471916389,-0.08099856321839083,0.15625070929268953,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Limosilactobacillus,-2.114582330422594,-1.9886734690597254,-2.6972639580873525,-2.3218238403583897,-0.12590886136286872,-0.3754401177289628,0.12590886136286872,-1.7776101902570618,0.07546789899153483,-0.07990301724137927,0.1597111350751086,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Lacrimispora,-1.978375794299818,-1.8621021370567086,-2.3838227507083527,-2.1626159295099385,-0.11627365724310934,-0.22120682119841417,0.11627365724310934,-1.6813179772087472,0.09270116786022452,-0.07557471264367821,0.19172286989273707,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Odoribacter,1.7617598011026185,1.4270179276134962,2.6576927182075667,2.4202869915864675,0.3347418734891223,0.23740572662109916,0.3347418734891223,1.657344812134478,0.09744978221095815,0.07449712643678152,0.19706511513771538,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Phocaeicola,5.878297310445205,5.353401483794985,6.463318540919848,6.266338659975341,0.5248958266502202,0.19697988094450647,0.5248958266502202,1.6225837227767876,0.10467842240396547,0.07293462643678161,0.20708122692958386,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Holdemania,-0.9541998192989691,-1.221424734228713,-1.182470130933373,-1.2987704693599487,0.2672249149297439,0.11630033842657572,0.2672249149297439,1.530686589992089,0.12584686958871663,0.06880387931034493,0.2436609602675152,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Coprococcus,2.313439643395993,2.50837527581532,3.3415493134117176,3.5977825541706925,-0.19493563241932677,-0.2562332407589749,0.19493563241932677,-1.4863362346046909,0.1371902069673061,-0.06681034482758619,0.2553708557944493,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Lactococcus,-1.91705594369994,-1.7801403371291713,-2.3838227507083527,-2.1430879929660533,-0.13691560657076862,-0.24073475774229935,0.13691560657076862,-1.4851375763509775,0.13750738388931885,-0.06675646551724135,0.2553708557944493,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Ruminococcus,2.7123786720723886,3.042907815263298,4.159013923181669,4.2221339595519005,-0.3305291431909092,-0.06312003637023178,0.3305291431909092,-1.4627626222816597,0.14353234406192356,-0.0657507183908046,0.26122886619270086,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Acidaminococcus,-1.7414764507094367,-1.6721584866122914,-2.5350714566421964,-2.3120301763413376,-0.0693179640971453,-0.2230412803008588,0.0693179640971453,-1.3760596752630525,0.1688031586610217,-0.06185344827586203,0.3011977929049603,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Anaerotruncus,-0.8876581362471587,-1.1123933576779592,-1.0821652202448155,-1.2742585285404027,0.2247352214308005,0.19209330829558713,0.2247352214308005,1.3345061891343193,0.1820380198624013,0.059985632183908066,0.3128279033298415,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Bifidobacterium,3.472920820065937,3.685434679879117,4.14756038909704,4.542862727239584,-0.21251385981317972,-0.39530233814254334,0.21251385981317972,-1.3225196065971847,0.18599518489939204,-0.05944683908045978,0.3128279033298415,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Lachnoclostridium,-2.126226763489391,-2.038828827703313,-2.3868482171766843,-2.209161452957722,-0.08739793578607813,-0.17768676421896235,0.08739793578607813,-1.3157272098261417,0.18826561810265696,-0.059141522988505724,0.3128279033298415,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Megamonas,-1.9463852667108164,-1.9018303035898965,-2.607902885891276,-2.409593917263697,-0.04455496312091989,-0.19830896862757896,0.04455496312091989,-1.3133298933187147,0.18907180970484927,-0.059033764367816044,0.3128279033298415,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Klebsiella,-1.018143467944851,-0.9102490760387271,-2.0827534727812544,-1.7097174133830424,-0.10789439190612404,-0.37303605939821205,0.10789439190612404,-1.2741737236974084,0.20260185532428998,-0.05727370689655176,0.32922801490197123,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Butyricimonas,0.04351018266692402,-0.23003828911503477,-0.38773283342558784,-0.7341372641139225,0.2735484717819588,0.3464044306883347,0.2735484717819588,1.231022026563724,0.21831462623181352,0.055334051724137856,0.34795112417851715,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Akkermansia,0.23032139813270888,0.4293931974861442,-0.9989222423612234,-0.7674627229802744,-0.1990717993534353,-0.231459519380949,0.1990717993534353,-1.221832313285254,0.22177104617971422,-0.05492097701149423,0.34795112417851715,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Eggerthella,0.6683668686861851,0.4463141827356334,0.9444834385464351,0.2690469694947301,0.22205268595055172,0.675436469051705,0.22205268595055172,1.155506556579776,0.24788304921505955,0.051939655172413834,0.38232809285712577,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Holdemanella,-1.5943912021637265,-1.4862640695727647,-2.3307501959324073,-2.165568634559339,-0.10812713259096185,-0.1651815613730685,0.10812713259096185,-1.128736522246842,0.25900899759093476,-0.050736350574712596,0.3871455381696821,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Allisonella,-2.1822727771940373,-2.1240196355355825,-2.5859327503350835,-2.3378668954694235,-0.058253141658454854,-0.24806585486566002,0.058253141658454854,-1.1275378639931284,0.2595151409708858,-0.05068247126436787,0.3871455381696821,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Anaeromassilibacillus,-1.3024569349783623,-1.1165963799337961,-1.3884550910127071,-1.2987704693599487,-0.18586055504456622,-0.08968462165275848,0.18586055504456622,-1.084386166859444,0.27819361451830427,-0.04874281609195408,0.4083164342123498,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Sellimonas,-1.4410946491811178,-1.3696247981598557,-2.0172567746224206,-1.7846071673955435,-0.07146985102126213,-0.2326496072268771,0.07146985102126213,-1.0252523596762466,0.30524412830984904,-0.0460847701149425,0.4409081853364486,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Anaerotignum,-1.5567076321963915,-1.6181998702252374,-2.4691921144073117,-2.3228384310097567,0.06149223802884585,-0.14635368339755495,0.06149223802884585,-0.9801028987863728,0.3270353284222922,-0.04405531609195401,0.46500335760044675,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Haemophilus,-0.6949663248211022,-0.54283626558859,-1.1246002808043474,-0.8998276792593598,-0.15213005923251222,-0.22477260154498757,0.15213005923251222,-0.9245650663643158,0.3551921914214934,-0.04155890804597706,0.49726906799009074,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Intestinimonas,-0.6369728413629043,-0.7951376669062018,-0.9921498845053712,-1.1757302560319052,0.15816482554329747,0.18358037152653395,0.15816482554329747,0.8590384151613133,0.39031932230802824,0.03861350574712641,0.5381675504550086,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Barnesiella,0.7940617056533361,0.5368335323105153,-0.5017896543001878,-0.7270289063380799,0.2572281733428208,0.22523925203789208,0.2572281733428208,0.6972195509099962,0.48566540543425984,0.03133979885057481,0.6405152448480819,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Paraprevotella,-1.2590691682511412,-1.1975453765917685,-2.145948804588876,-1.9482138811832241,-0.06152379165937272,-0.19773492340565202,0.06152379165937272,-0.7191949522280763,0.472020809129022,-0.032327586206896575,0.6405152448480819,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Lancefieldella,-2.3577464946798647,-2.3094036656180674,-2.5940981544039463,-2.515871038196549,-0.04834282906179732,-0.07822711620739753,0.04834282906179732,-0.7008155256711366,0.4834181476499253,-0.031501436781609216,0.6405152448480819,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Gordonibacter,0.12034575206504415,0.09853821143978307,0.011261728840391949,-0.273597923044151,0.02180754062526108,0.28485965188454293,0.02180754062526108,0.675244149591916,0.4995206610990518,0.030352011494252817,0.6493768594287673,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Phascolarctobacterium,1.507076233227283,1.399135378351314,2.7185061780899575,2.1263535305369845,0.10794085487596883,0.592152647552973,0.10794085487596883,0.5569765352255213,0.5775434612591712,0.02503591954022988,0.7402317602054167,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Alistipes,3.6173004264799395,3.4967598221946257,4.694137382126343,4.45902782270435,0.12054060428531388,0.23510955942199274,0.12054060428531388,0.511027968833172,0.6093314724032409,0.022970545977011536,0.7701272776207628,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Mogibacterium,-1.5685543111987768,-1.7045883379513278,-1.570815309311104,-1.6108799479626805,0.13603402675255105,0.04006463865157661,0.13603402675255105,0.4502959506450233,0.6524970584139752,0.020240660919540243,0.8133867440502978,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Dialister,-0.2716007463102778,-0.3201808570924942,-1.0094059083694495,-1.2627142420299755,0.04858011078221641,0.25330833366052596,0.04858011078221641,0.42991876033189447,0.667254738167423,0.019324712643678188,0.8205429888275066,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Blautia,3.2060132814832385,3.06855007404419,3.6137124040925723,3.6635619471016776,0.1374632074390485,-0.04984954300910527,0.1374632074390485,0.3971554347303932,0.6912528432562777,0.017852011494252862,0.8387201164842836,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Oscillibacter,0.8901182890583669,0.769111450447639,0.8047402641057069,-0.31615003353731597,0.12100683861072792,1.1208902976430228,0.12100683861072792,0.35120686833804393,0.725433157746174,0.01578663793103452,0.8573300955182057,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Clostridium,1.8933237177678233,1.8418769986021033,2.6322144869847994,2.296175221517695,0.05144671916571997,0.3360392654671043,0.05144671916571997,0.35759971235784904,0.7206428936003144,0.01607399425287359,0.8573300955182057,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Erysipelatoclostridium,-0.3776150082497209,-0.4387291975704315,-0.930489408512488,-0.9381747311234281,0.06111418932071061,0.007685322610940126,0.06111418932071061,0.3328274417811042,0.7392645425168269,0.01496048850574705,0.8624752996029648,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Eubacterium,3.2255648600453815,3.068399595979979,3.9031089352558466,3.7951293842275255,0.15716526406540243,0.10797955102832102,0.15716526406540243,0.30046366893084075,0.7638235048706066,0.013505747126436818,0.864291563266449,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Dielma,-2.0664244468469524,-2.1634991667290167,-2.3553315519838214,-2.3218238403583897,0.09707471988206429,-0.033507711625431646,0.09707471988206429,-0.29327171940856,0.7693144684020041,-0.013182471264367779,0.864291563266449,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Streptococcus,2.9217213651486795,2.8483650061459085,3.1555315375082897,2.920698596310883,0.07335635900277104,0.2348329411974066,0.07335635900277104,0.3100529349605484,0.7565207021520872,0.013936781609195315,0.864291563266449,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Christensenella,-1.8035101230491262,-1.8944570292369514,-2.1237703267880352,-2.1235667502973907,0.0909469061878252,-0.0002035764906445081,0.0909469061878252,-0.27449274010038244,0.7837059820090347,-0.012338362068965547,0.8697224922295386,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Collinsella,2.7746413005025343,2.8972684000050926,3.8332430846523566,3.7644371524251343,-0.12262709950255823,0.06880593222722231,0.12262709950255823,-0.25651286629468056,0.7975548468491881,-0.01153017241379306,0.8744276031720014,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Veillonella,0.34390127279380445,0.20113146776201554,-0.5009328007924028,-0.3948643243862495,0.1427698050317889,-0.10606847640615324,0.1427698050317889,0.18379426556939726,0.8541748549184467,0.008261494252873591,0.903836183692775,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Slackia,-1.3189834297711305,-1.4327968609942616,-1.9121129704685438,-1.9905301971181684,0.11381343122313115,0.07841722664962458,0.11381343122313115,0.20736787789242866,0.8357225670737511,0.009321120689655071,0.903836183692775,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Actinomyces,-1.1332744228078908,-1.1160783088946375,-1.2351871826578846,-1.2893703094886422,-0.017196113913253264,0.054183126830757544,0.017196113913253264,-0.186591134828062,0.8519812180560514,-0.008387212643678144,0.903836183692775,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Agathobaculum,1.968154633018809,1.9698660045567358,2.5819783899524,2.4686210451946238,-0.0017113715379266647,0.11335734475777626,0.0017113715379266647,0.15023183446542038,0.8805817106318408,0.006752873563218298,0.9210682260631897,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Lawsonibacter,0.4600530172078223,0.46501496926477603,0.7406634148139115,0.5332578243550372,-0.004961952056953711,0.2074055904588743,0.004961952056953711,-0.11547074510773002,0.9080720073672861,-0.005190373563218387,0.9390290076184435,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Dorea,2.839069856735214,2.957418591551724,4.021611042080689,3.909699382336848,-0.11834873481650998,0.11191165974384099,0.11834873481650998,-0.07711368098889929,0.9385331095539491,-0.003466235632183956,0.9521755636714265,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Fusicatenibacter,2.7902690046736374,2.805010892034964,3.606081336750716,3.7621636885857566,-0.014741887361326533,-0.1560823518350407,0.014741887361326533,-0.07311815347652109,0.9417120959387735,-0.003286637931034453,0.9521755636714265,False
CRC_vs_Control__within_Female,CRC_Female,Control_Female,290,384,Megasphaera,-1.3878758318556108,-1.581426837882848,-2.2768333764784643,-2.165568634559339,0.19355100602723718,-0.1112647419191255,0.19355100602723718,0.019578084810653186,0.9843799462706212,0.0008800287356320879,0.9843799462706212,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Slackia,-0.8819584527101565,-1.4327968609942616,-1.3817117019703566,-1.9905301971181684,0.5508384082841051,0.6088184951478117,0.5508384082841051,3.7663847595885764,0.0001656284807349316,0.14756944444444442,0.007536095873439387,True
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Allisonella,-1.707168179779086,-2.1240196355355825,-1.8005297493483514,-2.3378668954694235,0.4168514557564964,0.5373371461210721,0.4168514557564964,3.783365994151005,0.0001547216425954842,0.14823478043912175,0.007536095873439387,True
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Acidaminococcus,-1.0783974433430539,-1.6721584866122914,-1.854845827397428,-2.3120301763413376,0.5937610432692375,0.4571843489439096,0.5937610432692375,2.9210376765276957,0.0034886763505437316,0.1144481869594145,0.10582318263315986,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Holdemanella,-0.9935806316595565,-1.4862640695727647,-1.613757087795463,-2.165568634559339,0.49268343791320823,0.5518115467638758,0.49268343791320823,2.815966287672671,0.004863076941421436,0.11033142049234868,0.11063500041733766,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Akkermansia,-0.2934719702085254,0.4293931974861442,-0.9728976410592614,-0.7674627229802744,-0.7228651676946696,-0.20543491807898695,0.7228651676946696,-2.704261604066698,0.006845637116969661,-0.10595475715236191,0.12459059552884784,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Eisenbergiella,-1.224171822798006,-0.8151508257570569,-1.437205173210236,-1.137909854892184,-0.4090209970409492,-0.299295318318052,0.4090209970409492,-2.4147846211353037,0.015744516578160096,-0.09461285761809712,0.23879183476876145,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Ruthenibacterium,0.9873620587222794,1.3186659149055393,1.0328558161137589,1.5512150692655515,-0.33130385618325986,-0.5183592531517927,0.33130385618325986,-2.34049171992468,0.019258365443678035,-0.09170201264138389,0.24869662055435315,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Turicimonas,-1.7791670982579106,-1.5502616419191766,-1.9339355885497265,-1.5975042745043506,-0.22890545633873405,-0.33643131404537585,0.22890545633873405,-2.292731997717851,0.021863439169613464,-0.08983075515635397,0.24869662055435315,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Megamonas,-1.337045157980992,-1.9018303035898965,-2.174373289685668,-2.409593917263697,0.5647851456089044,0.23522062757802908,0.5647851456089044,2.227460377368517,0.025916521083192794,0.08727336992681312,0.26204482428561604,False
